SPP382	Q06411
SEN1	Q00416
LSM3	P57743
SEC39	Q12745
NBP1	P52919
GAB1	P41733
SPT5	P27692
TAF11	Q04226
NSE5	Q03718
YML6	P51998
NDC1	P32500
RRN11	Q04712
PRP39	P39682
RSE1	Q04693
TEM1	P38987
ORC1	P54784
ITT1	Q04638
POB3	Q04636
BET5	Q03630
TUB1	P09733
RPM2	Q02773
PRE8	P23639
UTP14	Q04500
TAF13	P11747
SEC65	P29478
TAF8	Q03750
PGA3	Q12746
ERG13	P54839
RSC9	Q03124
MSC1	Q03104
ERO1	Q03103
CDC5	P32562
TAF4	P50105
SEC59	P20048
TAP42	Q04372
HOF1	Q05080
ARP9	Q05123
MCM1	P11746
NUP116	Q02630
ERB1	Q04660
SEN15	Q04675
RNA14	P25298
MOT3	P54785
TVP18	Q04767
PDS5	Q04264
SEC14	P24280
UTP15	Q04305
CTF13	P35203
MED11	Q99278
FOL3	Q12676
SPC24	Q04477
ECM16	Q04217
RRB1	Q04225
ERG29	P40207
TIF34	P40217
SWP1	Q02795
MSS11	Q03825
CEP3	P40969
SPT21	P35209
YMR185W	Q12751
VTI1	Q04338
CIK1	Q01649
ROT1	Q03691
TOM40	P23644
ERG12	P07277
DML1	Q03652
CEF1	Q03654
TRS130	Q03660
ERG8	P24521
TAF7	Q05021
RRP5	Q05022
RNA1	P11745
TAF9	Q05027
RNT1	Q02555
CUS1	Q02554
TIF11	P38912
PRP24	P49960
RRN9	P53437
FCP1	Q03254
GPI12	P23797
HSH155	P49955
HAS1	Q03532
LCB1	P25045
LIP1	Q03579
ATM1	P40416
PSE1	P32337
NIP1	P32497
PRE5	P40302
RLP7	P40693
LST8	P41318
SIS1	P25294
ARK1	P53974
YNL024C-A	Q8TGJ3
SAM50	P53969
GPI15	P53961
BDP1	P46678
NOP2	P40991
GCD10	P41814
IMP4	P53941
TOP2	P06786
POL1	P13382
MET4	P32389
NOP15	P53927
DBP2	P24783
RPC19	P28000
DCP2	P53550
NAF1	P53919
SPC98	P53540
TOM22	P49334
KRE33	P53914
NAM9	P27929
YSF3	P0C074
PGA2	P53903
RPC31	P17890
INN1	P53901
PGA1	P53896
CBK1	P53894
RPL42A	P0CX27
RIA1	P53893
APC1	P53886
RPS3	P05750
YNL181W	P53878
IPI3	P53877
KAR1	P11927
SRP1	Q02821
RIO2	P40160
RAP1	P11938
POP1	P41812
SSU72	P53538
CSL4	P53859
NAR1	P23503
SUI1	P32911
CWC25	P53854
YNL247W	P53852
NRD1	P53617
FOL1	P53848
DSL1	P53847
YNL260C	P53846
ORC5	P50874
POL2	P21951
YIF1	P53845
PIK1	P39104
SEC2	P17065
POP3	P32347
SEC21	P32074
RFC3	P38629
MRPS18	P42847
KRI1	P42846
ZIM17	P42844
RFA2	P26754
YNL313C	P42842
PFS2	P42841
RPC34	P32910
PRP2	P20095
ACC1	Q00955
TIM23	P32897
SEC12	P11655
ARC35	P53731
DBP6	P53734
MVD1	P32377
TRM112	P53738
NOG2	P53742
ESF2	P53743
RPB11	P38902
RCL1	Q08096
DIS3	Q08162
TSR4	P25040
MIM1	Q08176
SMC5	Q08204
PRE6	P40303
RPS15	Q01855
RIB2	Q12362
NUF2	P33895
