Eif4e	P63073
Eif4e	P63073
Eif4e2	Q8BMB3
Eif4e2	Q8BMB3
Eif4e2	Q8BMB3
Eif4e2	Q8BMB3
Eif4enif1	Q9EST3
Eif4g2	Q62448
Eif4g2	Q62448
Eif4h	Q9WUK2
Eif4h	Q9WUK2
Eif5	P59325
Eif5a	P63242
Eif5a	P63242
Eif5a	P63242
Eif5b	Q05D44
Eif6	O55135
Eif6	O55135
Elac1	Q8VEB6
Elavl1	P70372
Elavl1	P70372
Elk1	P41969
Ell	O08856
Elmod2	Q8BGF6
Elof1	P60003
Elovl5	Q8BHI7
Elp2	Q91WG4
Elp3	Q9CZX0
Elp5	Q99L85
Emc10	Q3TAS6
Emc10	Q3TAS6
Emc2	Q9CRD2
Emc3	Q99KI3
Emc4	Q9CZX9
Emc6	Q9CQW0
Emc7	Q9EP72
Emc8	O70378
Emc8	O70378
Emd	O08579
Emd	O08579
Eme2	Q56A04
Emg1	O35130
Eml3	Q8VC03
Emsy	Q8BMB0
Emsy	Q8BMB0
Ensa	P60840
Ensa	P60840
Entpd6	Q3U0P5
Eny2	Q9JIX0
Ep300	B2RWS6
Epc1	Q8C9X6
Epg5	Q80TA9
Epn1	Q80VP1
Epn1	Q80VP1
Eps15l1	Q60902
Eral1	Q9CZU4
Ercc3	P49135
Ercc5	P35689
Ergic1	Q9DC16
Ergic2	Q9CR89
Ergic2	Q9CR89
Ergic3	Q9CQE7
Erh	Q62167
Erh	Q62167
Eri1	Q7TMF2
Eri3	Q8C460
Erich1	A0A1B0GRP9
Erlec1	Q8VEH8
Erlin2	Q8BFZ9
Ermard	Q8C9C8
Ermp1	Q3UVK0
Erp29	P57759
Erp29	P57759
Erp44	Q9D1Q6
Etf1	Q8BWY3
Ewsr1	Q61545
Exd2	Q8VEG4
Exoc1	Q8R3S6
Exoc2	Q9D4H1
Exoc3	Q6KAR6
Exoc4	O35382
Exoc5	Q3TPX4
Exoc7	O35250
Exoc8	Q6PGF7
Exosc1	Q9DAA6
Exosc2	Q8VBV3
Exosc4	Q921I9
Exosc7	Q9D0M0
Exosc9	Q9JHI7
Ext2	P70428
Extl2	Q9ES89
Faap20	Q3UN58
Faap20	Q3UN58
Fadd	Q61160
