AT3G60980	Q9LEX5
AT3G61520	Q9M316
AT3G61570	Q84WU4
AT3G62050	A6QR85
AT3G62470	Q9LZP3
AT3G62690	Q9LZJ6
AT3G62800	Q8H1D4
AT3G62920	Q9LYC9
AT3G63340	Q93YS2
AT3G66654	Q9C835
AT3G66658	Q0WSF1
AT4G00020	Q7Y1C5
AT4G00530	A0A654FKN2
AT4G00650	Q67Z93
AT4G00690	O65278
AT4G00980	Q8GXX5
AT4G01040	A0A178V5C3
AT4G01710	Q9M117
AT4G02600	O49621
AT4G03020	Q8LPI5
AT4G03440	A0A1P8B6C4
AT4G03635	Q1G3K0
AT4G04200	F4JGB4
AT4G04920	F4JGZ1
AT4G05000	Q9S9T7
AT4G08455	Q6DBN1
AT4G09810	Q9SZ96
AT4G10330	Q9SV88
AT4G10890	F4JN57
AT4G10925	Q93YV9
AT4G10930	Q8L7I1
AT4G11560	Q8RXT5
AT4G11660	Q9T0D3
AT4G11970	F4JPV2
AT4G12340	Q9STH7
AT4G12780	Q9SU08
AT4G12790	Q8W4C1
AT4G13460	Q9T0G7
AT4G14600	Q8VXX9
AT4G16144	Q5PNU3
AT4G16420	Q9ATB4
AT4G16440	Q94CL6
AT4G16566	Q84VV6
AT4G16845	Q8W5B1
AT4G17010	Q94AX0
AT4G17085	Q0WR81
AT4G17330	F4JP43
AT4G17420	Q84J77
AT4G17510	Q8GWE1
AT4G17620	Q8RY73
AT4G18230	Q84R09
AT4G18230	Q84R09
AT4G18300	O49733
AT4G18400	Q8LEL5
AT4G19003	Q8VZC9
AT4G19010	Q84P24
AT4G19540	O49472
AT4G21610	O65426
AT4G22350	Q8W0Z4
AT4G22540	Q940Y1
AT4G23760	F4JPC0
AT4G24370	Q9STV7
AT4G24590	A0A1P8B5X4
AT4G24900	F4JRR5
AT4G25225	Q1G3H9
AT4G25280	Q6NMK6
AT4G26160	Q8LEK4
AT4G26720	P48529
AT4G26980	Q501F5
AT4G27010	F4JVU5
AT4G27540	Q8LFP1
AT4G27650	Q9ZT87
AT4G27660	Q1PE44
AT4G27680	A0A178V5Z4
AT4G28010	Q9SUD8
AT4G28550	A1L4V1
AT4G29440	A0A5S9XXE4
AT4G29530	Q9SU92
AT4G30570	Q8H1Q7
AT4G30700	Q9SUH6
AT4G30870	Q5W9E7
AT4G30900	F4JR41
AT4G30935	P59583
AT4G31570	F4JSP7
AT4G31770	Q94K01
AT4G31930	Q9AST4
AT4G32660	P51568
AT4G32750	Q8LA21
AT4G32960	A0A654FV28
AT4G33100	Q9SMZ9
AT4G33650	Q8S944
AT4G33650	Q8S944
AT4G33690	Q6NPE9
AT4G33770	O81893
AT4G33980	Q8L983
AT4G33990	O81767
AT4G34040	O49500
AT4G34140	O49491
AT4G34430	Q8VY05
AT4G35130	O49619
AT4G36480	Q94IB8
AT4G37020	Q9FPI7
AT4G37090	O23177
AT4G37630	Q2V3B2
AT4G38200	F4JSZ5
AT4G38320	Q9SVF3
AT4G38495	Q8RWS0
AT4G38980	Q9SVJ5
AT4G39420	Q9SVB6
AT4G39630	A0A1P8B374
AT4G39690	Q9ASV5
AT4G39860	Q9SMR7
AT4G39920	Q9SMR2
AT5G01310	Q9M041
AT5G01480	Q9M026
AT5G01620	Q8RXQ1
AT5G02280	A0A5S9Y0Z2
AT5G02470	Q9FNY3
AT5G03070	F4KF65
AT5G03110	Q9LYX4
AT5G03220	Q9LYW3
AT5G03330	Q9LZF7
AT5G03500	Q9LZD7
AT5G04060	Q9LZA4
AT5G04270	Q500Z2
AT5G04420	Q9LZ83
AT5G04780	Q9LZ19
AT5G05700	Q9ZT48
AT5G05970	B3H5K9
AT5G06540	Q9FG16
AT5G06770	Q9FG30
AT5G07120	B9DFS6
AT5G07590	Q5PP39
AT5G07710	Q9FLR0
AT5G08190	Q9LEY8
AT5G08270	A0A178U965
AT5G08415	Q8LEE8
AT5G08710	Q8GWF2
AT5G09225	Q8GYQ7
AT5G09410	Q9FY74
AT5G09450	Q94B59
AT5G09630	Q9LXC7
AT5G09860	Q93VM9
AT5G10110	Q8VZV8
AT5G10630	F4KI84
AT5G10695	Q8RXY3
AT5G11310	Q9LFM6
AT5G12260	A0A178UIK9
AT5G12290	Q8GUK1
AT5G12290	Q8GUK1
AT5G13020	F4K2F0
AT5G13570	Q8GW31
AT5G14420	Q9LY87
AT5G15025	A0A1P8BFD5
AT5G15610	Q0WSE9
AT5G15820	A0A178ULW9
AT5G16300	Q9FFF3
AT5G16320	Q9FFF1
AT5G16800	A0A178UIX7
AT5G17370	F4KGZ4
AT5G18190	Q9FK52
AT5G18400	Q8L7Z3
AT5G19485	Q1G3F7
AT5G19840	F4K2M8
AT5G20030	Q8LES5
AT5G20170	F4K460
AT5G20980	Q0WNZ5
AT5G21040	Q94AD8
AT5G21970	Q9C590
AT5G22110	Q500V9
AT5G22450	F4K9W2
AT5G22780	Q8LPK4
AT5G22780	Q8LPK4
AT5G23090	P49592
AT5G23490	A0A654G493
AT5G23520	Q9LT11
AT5G24350	Q9FIN7
AT5G24352	A8MSG2
AT5G24830	Q8L6Y3
AT5G24970	A0A384L5P8
AT5G25570	Q8LD64
AT5G25760	Q8LGF7
AT5G26240	P92943
AT5G26720	Q8GXF7
AT5G27210	F4K2U8
AT5G27490	F4K4B8
AT5G27620	Q8W5S1
AT5G27710	Q6NM16
AT5G28150	Q8RX84
AT5G35330	Q8LA53
AT5G35930	F4K1G2
AT5G37370	Q8RWB1
AT5G37680	Q8W4C8
AT5G38380	Q8RWM9
