l(2)gl	P08111
Abi	A0A0B4KH51
twf	Q9VFM9
RpII140	P08266
Aats-met	Q9VFL5
trx	P20659
CG12207	Q961C8
su(Hw)	P08970
RpII15	P36958
pr-set7	A0A0B4K680
CG8538	Q9VFK5
CG3321	O77134
NK7.1	Q9VFK4
cv-c	A8JR05
HtrA2	Q9VFJ3
mRpL11	Q9VFJ2
CG31313	Q8SZN1
CG8066	Q9VFI3
Cys	P23779
CG7987	Q29R10
stumps	Q1WWH6
put	Q24468
His4r	P84040
l(3)L1231	Q9VFH4
CG3505	Q8SX54
CG3508	Q9VFH2
Neu3	Q6QU65
CG33967	Q9VFG8
CG7530	Q9VFG7
eff	P25867
CG3563	Q6NNB4
CG33330	Q6NNB4
btsz	Q59DX2
Rrp6	Q9VFF3
CycC	P25008
CG3731	Q9VFF0
CG7265	Q9VFE9
CG7262	Q9VFE7
RpS5b	Q9VFE4
VhaPPA1-1	Q9VFE3
CG6966	Q9VFD5
CG6904	Q9VFC8
Mf	Q9VFC6
CG4196	Q7KSI9
Spn5	Q9VFC2
CG4210	Q8MRT7
CG6623	Q9VFB7
CG12241	Q9VFB6
Rpb7	Q9VFB5
CG31344	Q95U32
Caf1	Q24572
Art3	Q8INE8
mRpS10	Q9VFB2
Hsc70-4	P11147
Su(var)3-9	P45975
Set	P53997
Oscp	Q24439
Cp190	Q24478
CG4338	Q9VFA0
MRG15	Q9Y0I1
l(3)neo43	Q9VF98
Tm1	P06754
Tm2	P09491
CG6276	Q9VF93
ear	Q9VF92
CG6236	Q9VF91
ea	P13582
mRpL9	Q9VF89
FK506-bp1	P54397
Sra-1	Q9VF87
CG6218	Q9VF86
Surf4	O18405
CG31301	Q9VF83
CG6196	Q9VF82
CG6194	Q9VF80
CG5044	Q86BP1
ldlCp	Q9VF78
Trax	Q9VF77
CG6171	A8JR14
CG34404	Q9VF73
CG14868	Q9VF72
CG5073	Q9VF70
Atx2	Q8SWR8
CG18522	Q9VF53
CG5399	Q9VF46
CG9590	Q9VF39
Acyp2	Q9VF36
CG4699	E1JIM0
Arpc3A	Q9VF28
CG31150	Q9VF24
CG4225	Q9VF20
glob1	Q8T0T2
CG3303	Q9VF14
blp	Q9VF08
Sap47	Q960T2
CG4287	Q9VF06
CG5516	Q9VF05
CG32856	Q8INC7
mor	Q9VF03
Hel89B	Q9VF02
srp	P52172
ird5	Q9VEZ5
msps	Q9VEZ3
Mhcl	Q8IH49
Akt1	Q8INB9
CG5903	Q9VEY5
Bin1	Q9VEX9
sra	Q9XZL8
CG6126	Q961R9
mtSSB	P54622
tara	Q9NHB9
bor	Q9VEX6
gish	Q8IHB0
Sulf1	Q9VEX0
SF2	Q9V3W7
ARP-like	Q9XZ63
CG10311	Q9VEW3
CG17931	Q9VEW2
CG17565	Q9VEV7
mRpS33	Q9VEV5
CG12753	Q9VEV4
CG14894	Q9VEV3
Pak3	Q9VEV1
CSN5	Q9XZ58
Dhfr	P17719
CG14898	Q8SZ16
CG14899	Q9VEU2
CG14903	Q4V688
CG10340	Q9VES8
Fas1	P10674
nonA-l	Q24113
CG10326	Q9VES1
Cctgamma	A4V303
CG31217	Q9VER6
CG3534	Q9VEQ0
CG16941	Q9VEP9
Irc	Q9VEP8
CG5220	Q9VEP1
Patr-1	Q9VEN9
Dad	Q9VLM5
CG3983	Q8MT06
mRpS11	Q9VEN6
kuk	Q8SX89
GckIII	Q9VEN3
cal1	Q9VEN2
cher	Q9VEN1
CG11896	Q9I7J2
Brf	Q9VEL2
CG5319	C7LAF3
sds22	Q9VEK8
CREG	Q9VEK7
Sur-8	Q9VEK6
CG5823	Q9VEJ4
CG5840	A0A0B4KGC5
SF1	Q9VEJ1
sll	Q9VEI3
CG7523	Q9VEH2
alt	Q7KV27
CG7655	Q9VEG9
CG31249	Q9VEG8
osa	Q8IN94
CG7379	Q9VEF5
CG7357	Q9VEF0
CG18012	Q9VEE9
DNaseII	Q9VED8
htl	Q07407
CG7218	Q9VED0
Cbp20	Q9V3L6
CG7215	Q9VEC8
CG7217	Q960M4
PP2A-B'	Q5BIJ2
cdm	Q9VEC5
Arp5	Q9VEC3
CG12321	Q9VEC2
MED17	Q9VEC1
Ssdp	Q9VEB9
CG14314	Q9VEB7
CG7183	Q9VEB6
CG7988	Q9VEB5
CG7993	Q9VEB3
CG7168	Q9VEB2
CG7998	Q9VEB1
14-3-3epsilon	P92177
Rpb4	Q9VEA5
CG31241	B7Z0L8
eIF-1A	Q9VEA1
CG8064	Q9VE98
l(3)05822	Q9VE96
Dlc90F	Q94524
CG18600	Q9VE94
PKD	Q9VE91
CG7671	Q8SYC6
CG7675	Q9VE80
Vha100-2	Q9VE75
koko	B7Z0M0
CG12333	Q9VE73
CG7685	Q9VE71
CG31122	Q8MQJ5
fray	Q7KSD3
CG7694	Q9VE61
CG31224	Q9VE54
CG7698	Q9VE51
Gos28	Q9VE50
CG31229	Q8IN78
CG7702	Q9VE49
CG7705	E2QCZ3
Mekk1	Q8MSQ4
CG7718	Q8SYL0
CG14299	Q9VE34
CG7720	Q7K3Q2
endoA	B5RIU6
CG17836	Q8IN74
CG14290	Q7KSC4
CG5451	Q9VE18
dnk	Q9XZT6
gukh	Q9VE16
CG6005	Q9VE12
gatA	Q7KLE9
NP15.6	Q9V3L7
P5cr	Q9V3F8
Prp18	Q9V437
CG6013	Q9VE08
cdi	Q9VE06
mRpL55	Q9VE04
ATPsyn-d	Q24251
CG6040	Q6NP25
CG5629	Q7KN99
CG11779	Q8IHE3
CG5835	Q9VDZ9
CG42358	Q9VDZ4
CG42359	Q9VDZ5
CG5555	Q9VDZ1
vib	Q9VDY8
CG5316	Q8MSG8
det	Q9VDW6
CG6231	Q9VDV5
CG16718	Q8IN71
Vha13	Q9XZH6
Nup58	Q9VDV3
CG6195	Q9VDV2
CG4662	Q9VDT8
ire-1	A8JR46
CG11447	Q9VDT6
CG4572	Q9VDT5
CG4686	Q9VDT4
CG4562	Q5BI72
Arc42	Q9VDT1
Pk92B	Q9VDS9
CG4538	Q9VDS7
RhoGAP92B	Q9VDS5
Hs6st	Q9VDR6
CG4433	Q7KSB6
psidin	Q9VDQ7
trem	Q8SXZ3
CG4936	Q9VDQ3
CG4390	Q9VDP9
CG5060	A0A0B4K698
cic	Q9U1H0
CG5077	A0A0B4JDG2
CG4360	Q29R02
Sirt2	Q9I7I7
Stat92E	Q24151
att-ORFA	Q9VDL7
CG5180	B7Z0N0
CG15922	Q9VDL5
CG5191	Q9VDL3
TFAM	Q9VDL2
CG5412	Q9VDL1
Elongin-B	O44226
Srp14	Q9VDL0
CG16953	Q9VDK9
Srp72	Q9VDK7
bon	A8WHL4
H	Q02308
Pi3K92E	P91634
CG31195	Q8IN49
CG17271	Q0KI39
RpS20	P55828
CG17272	Q9VDI3
CG17273	Q9Y0Y2
Synd	A0A0B4KH28
RpS30	Q9VDH8
Atpalpha	P13607
Calx	Q9VDG5
Rlip	Q9VDG2
CG17278	Q9VDG1
Mvl	P49283
Cortactin	Q9VDF4
AnnIX	P22464
r-l	Q01637
RhoGAP93B	Q9VDE9
CG7044	Q9VDE8
CG5745	Q95RC5
rtet	Q9V395
Rab11	O18335
CG17282	Q9VDE4
slmb	Q9VDE3
CG5793	Q9VDE2
CG7009	Q9VDD9
CG5798	H1UUC2
CG5802	Q9VDD7
SNF4Agamma	A1A703
CG5862	Q9VDD1
CG3353	Q9VDD0
CG5871	Q9VDC9
CG3337	Q9VDC8
NELF-A	A0A0B4KGH5
Rab1	O18332
AP-2sigma	Q9VDC3
CG5919	Q9VDC2
CG3308	Q9VDC1
CG16791	Q9VDB7
mod(mdg4)	Q86B87
CG7956	Q9VD98
E2f	Q27368
GABA-B-R2	Q9Y133
tsl	P40689
Caki	Q24210
glec	Q9VD73
CG6637	Q9VD72
CG6656	Q9VD68
CG6439	Q9VD58
CG6455	P91928
mRpL35	Q8MS27
CG6028	Q95SI7
Cchl	Q9VD55
ND42	A4V383
CG6015	Q9VD52
pit	Q9VD51
how	O01367
sar1	Q9VD29
PSR	Q9VD28
CG5382	Q9VD26
PyK	O62619
CG18596	Q9VD22
CG13850	Q9VD14
epsin-like	Q9VD13
Nop56	Q95WY3
mats	Q95RA8
pinta	Q9VD09
CG34376	Q9VD05
Rpn7	Q9V3G7
AP-50	O62530
CG7054	Q9VD02
CG5377	Q9VD00
CG7048	Q9VCZ8
T-cp1	P12613
CG5346	Q9VCZ2
CG5315	Q9VCY8
CSN6	Q9VCY3
Dph5	Q8IN02
CG6937	Q9VCY1
CG31158	E1JIT7
mRpL45	Q9VCX3
loco	Q9VCX1
Gclm	Q9VCW6
wfs1	Q8IMZ9
wge	Q3LHL9
Irp-1A	Q9VCV4
HP1c	Q9VCU6
CG17141	Q9VCU5
CG7029	A8JR84
CG7023	Q9VCT9
CG17121	Q9VCR9
p53	Q9N6D8
CG17119	Q9VCR7
sav	Q9VCR6
CG6697	Q9XZ16
CG6726	Q9VCR2
Rassf	Q9VCQ7
cenB1A	Q9VCQ6
unk	Q86B79
Ir	Q9VCQ0
cnc	P20482
EloA	Q9VCP0
CG13827	Q8MZ03
pnt	P51023
ATPsyn-Cf6	D1Z3A2
RpS3	Q06559
CG31145	A4VCL2
CG13822	Q9VCK2
CG10157	Q9VCK1
eIF-3p66	Q9VCK0
CG10254	Q9XZ32
CG10365	Q9VCI9
Rpn9	Q7KMP8
Hmgcr	P14773
CG10225	Q9VCI7
Tbp-1	Q9V3V6
CG10221	Q9V415
Plip	Q86BN8
CG10219	Q9VCI5
CG10217	Q9VCI4
Lsd-1	Q9VCI3
CG10214	Q9VCI0
CG10375	Q9VCH9
CG10208	Q9VCH7
Nup98	Q9VCH5
mbc	Q9VCH4
CG33111	Q9VCH2
ofs	Q9VCH1
Pli	O77237
TfIIA-S	P52656
sba	A8JR92
CG5857	Q9VCG4
CG13601	Q9VCG3
Pros26.4	P48601
CG5854	Q9VCF8
Gdh	P54385
Aats-glupro	P28668
AP-1sigma	B8A403
CG13603	Q9VCF1
CG5902	Q9VCF0
Rab7	O76742
CG31184	Q8IMX8
KrT95D	Q95R71
Miro	Q8IMX7
spas	Q8I0P1
Rox8	Q08212
CG5986	Q9VCE2
Atg6	Q9VCE1
CG5991	Q9VMK3
CG6000	Q9VCD9
Hsp68	O97125
SMC1	Q9VCD8
4EHP	C1C3I0
Syx1A	Q24547
CG13605	Q9VCD3
Tsc1	Q9VCC9
Mpk2	O62618
CG6178	Q9VCC6
mRpS24	Q9VCC3
CG5510	Q9VCC2
CHORD	Q9VCC0
CG5515	Q9VCB9
twin	Q7K112
Spase22-23	Q9VCA9
mask	Q9VCA8
CG5706	Q9VCA5
jar	Q01989
Orct	Q9VCA2
CG6356	Q9VCA0
CG6364	Q9VC99
crb	P10040
CG5720	Q9V3H9
BRWD3	Q9VC96
CG5746	Q8IGI0
CG6454	A0A0B4KGY2
Golgin84	Q8SZ63
Pp1alpha-96A	P48461
CG6607	Q9VC66
CG13623	Q9VC65
CG5789	Q9VC63
mld	Q8IMW5
Syx18	Q9VC58
atl	Q9VC57
CG5794	Q9VC56
ash2	Q94545
CG6695	Q9VC54
CG31126	Q9VC53
Ppox	Q9VC52
Rpb10	Q9VC49
CG13630	Q9VC48
tok	Q9VC47
CG5805	Q9VC40
CG18410	Q7KS11
polybromo	Q7YU13
CG5807	Q9VC35
CG34150	Q0KI15
CG6995	A0A126GV03
RabX4	Q9VC31
CG31357	Q8MSB1
CG7006	Q9VC28
nct	E1JIV8
Ela	Q8SY52
CG3744	Q9VC19
CG11089	Q9VC18
CG31120	Q9I7H9
CG11168	Q9VC09
CG11771	Q9VC06
Osbp	Q9VC05
ssh	Q6NN85
Nmnat	Q9VC03
CG11781	Q8MS26
Hr96	Q24143
Smg6	Q9VBZ6
CG6422	Q9VBZ5
bai	Q9VH95
5PtaseI	Q8IMU3
CG11790	Q8IMU2
CG11791	Q9VBZ0
CG31109	Q9VBY9
CG34349	Q9VBY8
veli	Q9VBY7
CG11820	Q9VBY6
OstStt3	Q7KN63
CG33096	Q9VBX7
CG33095	Q9VBX7
CG31108	Q9VBX5
CG11844	Q960D3
CG10238	Q9VBX2
RpS27	Q9VBU9
CG11875	Q9VBU8
Nup358	A0A0B4K7J2
CG11857	Q9VBU6
CG10425	Q9VBU5
CG11858	Q9VBU4
Aats-gln	Q9Y105
CG11859	Q9VBU2
CG31098	Q9VBT1
Fur1	P26016
CG5127	Q8SZS6
MED28	Q9VBQ9
XNP	Q9GQN5
CG5116	Q9VBQ7
Dhap-at	Q9VBQ6
CG5112	Q9VBQ5
msi	Q9VBQ1
CG4673	Q9VBP9
CG4685	Q9VBP6
jigr1	Q9VBP5
tankyrase	Q9VBP3
CG5053	Q9VBP2
CG5039	Q9VBN8
CG4743	Q9VBN7
CG5028	A8JRB8
RpL27	Q9VBN5
CG4774	Q8MZC4
LpR2	Q6NN57
LpR1	A0A0B4KI25
CG5886	Q9VBL3
Tsp96F	Q9V3X2
CG17370	Q86P97
Lnk	Q7K137
CG5913	Q9VBK9
Nf1	O01398
HLHmbeta	Q01069
gro	P16371
exo84	Q9VBI4
CG14542	Q9VBI3
Sld5	Q9VBI1
Dak1	Q8IQG9
CG14543	Q9VBI0
CG14550	Q8MSE4
RpL34a	Q9VBH8
Ald	P07764
CG5447	Q9VBF0
CG5455	Q9VBE6
scrib	Q7KRY7
CG5467	E1JIZ1
CG5484	Q8IMR3
CG6420	Q9VBC4
Tl	P08953
Lerp	Q8IMR0
ball	Q7KRY6
His2Av	P08985
BM-40-SPARC	O97365
Rb97D	Q02926
CG5500	Q9VBA6
T48	E1JIL4
Ets97D	Q04688
sda	Q8MQS2
CG6330	Q9VBA0
Tsp97E	Q9VB99
CG5521	Q9VB98
CG14253	Q8SYC5
CG31075	A0A0B4K6I6
spz	P48607
gb	Q9VB75
CG6051	Q9VB70
Mdh	Q9VKX2
CG34293	A8JRE2
CG31063	F3YD80
CG31064	Q8IMP2
CG18766	Q9I7H8
TfIIA-L	P52654
pll	Q05652
woc	A0A0B4KHZ0
l(3)mbt	Q9VB52
CG5934	Q9VB51
CG5938	Q0KI06
mrt	Q9VB49
CG3368	Q8T3K1
bigmax	Q9VB47
Hmu	Q9VB46
CG3348	Q9VB45
Klp98A	Q9VB25
wdb	Q9VB23
raps	Q9VB22
dsd	Q9VB20
CG5611	Q9VB17
Mtl	Q7JWS8
Mlc1	P06742
CG5590	Q9VB10
Sce	Q9VB08
ALiX	Q9VB05
btz	Q9VB04
CG12428	Q9VB02
CG12877	Q2PDP6
CG5003	Q9VAZ0
mRpS22	Q9VAY9
CG12259	Q9VAY7
CG4980	Q9VAY6
RpL4	P09180
CG5508	Q9Y137
Mes-4	Q8MT36
CG5514	Q8IMM6
CG4963	Q9VAY3
Gp93	Q9VAY2
CG4951	A1A708
CG4884	Q9VAX9
betaTub97EF	Q8MST5
larp	Q9VAW5
Gfat2	Q9VAW3
Moca-cyp	Q9VAW2
Ppn	Q868Z9
fkh	P14734
Noa36	Q9VAU9
Hrb98DE	P07909
CG9990	B9EQW2
htt	Q9V3N4
wdn	P15619
CG1646	Q7KRW8
CG1523	Q9VAT2
WASp	Q9VAT0
Apc	Q9VAS9
CG31048	B7Z0R2
inx3	A0A0B4LHT3
Doa	P49762
CG1951	Q9VAR0
beta4GalNAcTB	Q9VAQ8
CG1957	Q9V3D6
Slu7	Q9VAQ7
Pkc98E	P13678
cul-5	Q9VAQ0
CG11873	Q9VAP9
CG11874	Q9VAP8
CG11876	Q7K5K3
CG11877	Q9VAP6
CG11880	Q9VAP3
Vha100-1	Q8IML5
Pglym78	Q9VAN7
ligatin	Q9NG60
Slbp	Q9VAN6
Rpn2	Q9V3P6
Ef1gamma	Q9NJH0
CG1458	Q9VAM6
CG15817	Q8I077
SP1029	Q0KI00
Cnx99A	Q9VAL7
Ptp99A	P35832
Spase12	Q9VAL0
CG2310	Q7JZY1
Trc8	Q7KRW1
alph	Q961C5
CG1907	Q9VAJ9
Obp99a	Q9VAJ4
Bub3	O76523
Obp99c	A9QJL7
Pcd	O76454
CG18731	Q9VAI3
Kul	Q9VAI2
CG7601	Q9Y140
CG7598	Q9VAI1
CG1969	Q9VAI0
CG1972	Q9VAH9
ATPsyn-gamma	O01666
CG1973	Q9VAH7
kay	P21525
CG7834	Q0KHZ6
CG7789	Q9VAG9
ncd	P20480
ca	Q9VAG5
CG31033	Q86BR6
dgt1	Q9VAF4
CG15514	Q9VAF2
RpS8	Q8MLY8
CG7816	Q9VAF0
CG34133	Q8IMK1
CG31038	Q8MYX8
CG7866	Q0KHZ2
eIF2B-alpha	Q9VAD4
Acph-1	Q9VAD0
CG7903	Q8SYB8
CG15525	Q9VAC7
CG11504	Q7K4R2
CG7911	Q9VAC4
Nlp	Q27415
CG7920	Q9VAC1
Mgat2	Q961U0
Axn	Q9V407
CG7928	Q9VAB8
janA	P20348
Sry-beta	P07665
Sry-delta	P07664
RpL32	P04359
CG7943	Q7K483
CG7946	Q9VAA9
spn-A	Q27297
CG7950	Q9VAA6
sima	Q24167
Tpi	P29613
CG31030	Q0KHY8
Mlc2	P18432
CG1983	Q9VA97
CG1359	Q9VA95
CG9747	Q9VA94
CG9743	Q9VA92
RpS7	Q9VA91
hdc	Q9N2M8
Fer1HCH	Q7KRU8
Fer2LCH	Q9VA83
mRpS18C	Q9VA81
CG2218	Q9VA79
aralar1	Q9VA73
CG2224	Q9VA71
CDase	Q9VA70
PH4alphaEFB	Q9VA69
jdp	Q9TVP3
tmod	A8JRH3
CG2246	Q7KRU0
CG11314	Q9VA42
zfh1	P28166
wts	Q9VA38
dj-1beta	Q9VA37
CG31012	Q9Y154
Sap-r	Q9Y125
l(3)03670	Q9VA18
dco	O76324
CG31004	Q0KHY3
CG1542	Q9V9Z9
CG1746	Q6NN09
CG12054	Q8IHE2
mRpL32	Q9V9Z1
spn-F	Q9V9Y9
CG1607	A0A0B4KHK8
CG11337	Q9V9X7
Gprk2	P32866
CG11334	Q9V9X4
gammaCop	Q2VA12
pygo	Q9V9W8
CG1635	Q95TK5
CG1774	Q9V9W4
RpL6	Q9V9W3
CycG	Q95TJ9
Med	O62609
CG1815	Q7KRS9
ttk	P42282
CG11563	Q9V9U9
CG1890	Q9V9U7
awd	P08879
CG1910	Q3HKQ0
l(3)s1921	Q9V9U4
CG2135	Q9V9T9
sip3	Q95SP2
CG2126	Q8SXK7
faf	P55824
CG2118	Q9V9T5
Acf1	Q9V9T4
CG11576	Q9V9S9
heph	Q9VEV4
krz	Q9V393
mod	P13469
Map205	P23226
CG41099	Q7PLP4
CG41128	Q8SY69
CG40451	Q7PLT4
Alg-2	Q8SYT2
Gfat1	Q7PLC7
RpS3A	Q9V3Y0
pan	P91943
Ank	Q0KIE7
CG32000	Q8IMA6
CG31997	Q8SYQ4
CG2219	Q9V4B2
CG2316	Q7JUN3
CG31998	Q9V4B6
Crk	Q9XYM0
CG31999	Q9V4B8
CG1674	Q8IMB9
dpr7	A8DZ27
Rad23	Q9V3W9
CG2177	Q7KQN6
CG42314	Q9V4C7
Hcf	Q9V4C8
lgs	Q961D9
CaMKI	Q7JMV3
bip2	Q9XZU7
Asator	Q8IMC6
Thd1	Q9V4D8
Pur-alpha	Q9V4D9
CG1970	Q9V4E0
Ephrin	Q9V4E1
Eph	Q0KIF4
mav	Q9V4E6
gw	Q8SY33
Slip1	Q8MR31
myoglianin	Q9V4F4
MED26	Q9V4F9
CG11148	Q7KQM6
unc-13	Q8T0L6
eIF4G	O61380
CG32016	Q8IH18
plexA	Q0KIF1
CG11077	Q9V492
CG11076	Q9V493
ATPsyn-beta	Q94516
CaMKII	Q00168
Zyx102EF	Q9N675
Rfabg	Q9V496
cals	L0MQ08
Arf102F	P40945
CG11155	Q9V4A0
pho	Q8ST83
CG17471	Q8SXX1
Mitf	Q6WSQ9
Dyrk3	P83102
Caps	Q9NHE5
CG17691	Q7PLE6
RhoGAP1A	Q29QE1
cin	P39205
CG13377	Q9W5H1
ewg	Q24312
Exp6	Q9W5G1
CG13373	Q9W5G0
CG3156	A0A3Q7YSX4
CG17896	Q7KW39
svr	P42787
CG4293	O76896
Appl	P14599
CG13366	A0A3Q7YTX1
CG13365	Q9W5E7
mod(r)	Q7YZA5
CG13369	O77425
CG13364	Q9XZS3
RpL36	P49630
Dredd	Q8IRY7
su(s)	P22293
CG13367	Q9W5E2
Roc1a	Q9W5E1
Suv4-20	Q9W5E0
skpA	O77430
CG5254	Q9V3T2
CG5273	Q9W5D6
RpL22	P50887
CG16989	Q9W5D3
Rbf	Q24472
CG7359	A0A3Q7YTS9
CG3711	Q9V410
MED22	Q9V439
TRAM	Q9W5C2
CG3704	B4F5J7
CG3699	Q9U1L2
CG3021	Q9W5B6
su(w[a])	P12297
CG42259	Q0KHX4
CG14629	Q9W5B4
CG3655	Q9V3U1
CG11378	Q9V3I0
CG3638	Q9W5A5
DAAM	Q8IRY0
CG11412	Q95RC0
CG11418	O46102
CG12773	O46100
CG3056	Q8IH14
SNF1A	O18645
CG3719	O76877
CG32813	Q9W5A0
CG11448	O76878
CG14786	Q9W592
l(1)G0431	Q9W590
CG14777	Q9W588
pck	O76899
CG14782	O76902
sta	P38979
CG32810	Q9W579
dor	Q24314
CG3740	Q9W569
hfw	Q9W568
Adar	Q9NII1
CG14801	Q9W557
CG14812	O96824
deltaCOP	Q7K7G0
MED18	Q9XZT1
CG14815	Q7KW08
CG14816	O46084
CG14804	Q9W552
CG14817	Q9W551
CG14805	Q9W550
CG14818	O97420
CG14806	Q9W549
mRpL16	Q9W547
arm	P18824
CG32803	Q8IRW6
Edem1	Q7JUF8
mip130	Q9W542
CG17766	Q9W543
eIF2B-epsilon	Q9W541
CG3573	O46094
CG11596	Q9I7X6
CG3587	O46079
CG4406	Q8T4E1
east	Q7KW02
Actn	P18091
moody	Q9W534
CG4281	Q9W531
CG4199	Q960D4
CG4061	O77264
CG4045	O77263
CG4025	O77262
CG16903	Q9W526
Unc-76	Q9W525
csw	P29349
CG3835	A0A0F6QCQ6
Pgd	P41572
bcn92	O46098
wapl	Q9W517
CG3621	O97418
Cyp4d2	Q27589
Nmd3	O46050
CG17776	Q9W513
Mct1	Q9W509
Vinc	O46037
crn	P17886
CG3071	Q9W4Z9
CG2924	Q29R09
CG2918	A0A3Q7YJH7
CG2865	O46070
phl	P11346
mRpL14	Q9W4Z2
ptr	Q9W4Z1
tko	P10735
z	P09956
trol	X2JAC7
CG13760	Q9W4Y0
wds	Q9V3J8
egh	O01346
mit(1)15	Q9W4X9
Bzd	Q9W4X8
CG8636	Q9W4X7
CG10260	Q9W4X4
sgg	P18431
CG2658	Q9W4W8
eIF2B-beta	O76863
CG2685	O76861
CG2701	O76912
dwg	Q9W4V9
ttm50	Q9W4V8
CG32795	Q9U1M2
w	Q24106
CG3603	Q9W4U2
CG18508	O97172
CG3939	Q32UV4
dnc	Q9W4T4
CG10802	Q9W4R9
CG14270	Q9W4R8
Mnt	Q9W4Q7
Rala	P48555
tlk	B7Z120
yin	P91679
CG2930	Q9W4P6
VhaAC39	Q9W4P5
CG2938	Q9W4P0
Vap-33-1	Q9W4N8
lva	Q8MSS1
CG6379	Q9W4N2
Xpac	P28518
cib	O97428
CG6133	Q9W4M9
Tip60	Q960X4
CG4857	Q9W4M7
GlcAT-I	O97422
Fas2	P34082
CG2982	Q7K4H4
mRpL33	Q9W4L1
CG3626	Q9W4K8
rb	Q9W4K1
CHOp24	Q9W4K0
CG3568	F6JAH9
Usf	Q9W4J8
CG3527	Q9W4J5
CG11444	Q9W4J4
mRpL30	Q9W4I3
torp4a	O77277
Cbp80	Q7K4N3
rap	Q9W4H9
Pp2C1	Q9W4H8
ctp	Q24117
l(1)G0334	Q7KVX1
CG32772	X2JIB5
CG4041	Q9W4F8
CG6903	Q9W4F7
CG4068	A8JUX7
Ptp4E	Q9W4F5
CG32767	A9YIJ3
rg	Q9W4E2
Cdk7	Q24216
snf	P43332
Sas10	Q9I7W5
Rnp4F	Q9W4D2
XRCC1	Q9Y095
CanB	P48451
yu	Q7KVW1
CG4165	Q9W4C3
CG12730	Q9W4B6
Mlc-c	P54357
CG42492	A9YIR6
Sirt4	Q8IRR5
CG4119	Q9V3Y5
Rab-RP4	Q9W4A0
RpL35	Q9W499
Tre1	Q9NDM2
CG3160	Q9W495
cv	Q9W494
CG3149	Q9Y123
CG32758	Q9W486
l(1)G0060	Q9W485
lin-52	Q9W482
CG15771	Q9W481
MAPk-Ak2	P49071
CG3033	Q961V1
CG3016	Q9W462
CG16721	Q9W461
Act5C	P10987
CG12236	Q9W458
CG3011	A9YJ07
CG5966	Q9W448
rux	P50445
CG5941	Q9W445
CG4666	Q9W440
Mipp2	Q9W438
raptor	Q9W437
CG3774	Q9W429
sqh	P40423
CG3585	Q24593
Spx	Q9W424
Lag1	Q9W423
CG3781	Q9W422
Spt6	Q9W420
CG3566	Q8SY77
Ubi-p5E	Q9W418
Top3beta	O96651
wuho	Q9W415
Rpt4	Q9U7A2
CG15891	Q9W412
CG3815	Q9W410
CG12219	A9YJ57
CG42240	Q7K0D1
CG3842	Q9W404
CG3847	Q9W403
CG3446	Q9W402
kdn	Q9W401
Marf	Q7YU24
PpV	Q27884
CG3918	Q9W3Z5
Spat	Q9W3Z3
RpL7A	P46223
CG34417	A8JV00
Pat1	Q9W3Y7
CG3973	Q9W3Y4
CG3226	Q9W3Y3
l(1)G0148	X2JCT3
CG3224	Q9W3Y0
Ctr1A	M9NE97
CG3198	Q9W3X8
CG3192	Q9W3X7
l(1)G0255	Q9W3X6
Pink1	Q0KHV6
CG14442	G2J613
CG14440	Q9W3X1
CG3168	Q9W3W9
RpL17	Q9W3W8
CG14439	F6JB71
CG14438	Q9W3W6
COQ7	Q9TVU0
shf	Q24434
C3G	O77086
pod1	D6W4T8
CG3075	Q9W3V9
CG4542	Q9W3V8
Smg1	Q70PP2
CG14435	Q9W3V3
CG4557	Q9W3V2
CG4558	Q9W3V0
CG33692	Q9W3U8
CG32732	Q9W3U1
CG3040	Q9W3T9
ogre	P27716
CG14430	Q9W3T7
inx2	E1JJF3
cm	O76928
CG4593	A9YJI6
Sxl	P19339
CG4615	Q9W3S5
CG8300	Q9W3S3
CG1677	Q9W3R9
CG2059	Q0E5L4
unc-119	Q9XYQ2
Atg5	Q9W3R7
ct	P10180
CHES-1-like	Q9W3Q5
CG12155	Q9W3Q2
Pdp	Q9W3Q1
Rab39	Q9W3Q0
Tom40	Q9U4L6
CG10932	Q9W3N9
CG18624	Q9W3N7
p115	Q9W3N6
RpS6	P29327
bys	P51406
CG1444	Q9W3N1
CG1514	Q9W3N0
l(1)G0155	Q9W3M8
CG10777	Q9W3M7
CG10778	Q9W3M6
RpS14a	C0HKA0
RpS14b	C0HKA1
CG1530	M9PDZ8
l(1)G0193	Q9W3M4
CG1531	M9PDZ8
sws	Q9U969
sn	Q24524
fs(1)h	P13709
mys	P11584
Upf2	Q9W3L1
CG2254	Q9W3K9
Ubc-E2H	Q7JW03
Gclc	Q9W3K5
CG2116	A9YJS8
Smox	O96660
CG17982	Q9W3J6
CG2263	Q9W3J5
GIIIspla2	Q9W3I8
slpr	Q95UN8
sdt	Q9V5E1
CG2147	Q9W3H5
sni	Q9W3H4
Trxr-1	Q8INT5
ND75	Q94511
CG1636	Q9W3G7
CG11190	Q9W3G0
Trf2	Q8T052
CG12125	Q9W3F7
CG1440	A8JV22
CG12123	Q9W3F5
CG15347	Q9W3F3
Es2	O44424
CG33181	Q9W3E3
Nrg	P20241
CG11265	Q7KVS9
CG12065	Q8MRM6
CG12081	Q9W3D5
Crag	Q9W3D3
CG12772	Q9W3C9
CG11284	Q9W3C8
Ppt1	Q9W3C7
Hexo2	Q9W3C4
CG2004	Q9W3C3
