l(2)gl	P08111
Ogt	Q7KJA9
CG10465	Q7JZ62
CG10417	Q7K4Q5
CG17510	B7YZT2
CG17508	E3CTS2
CG11665	Q7JWI7
CG1344	A1Z6G6
l(2)NC136	Q7K126
CG1298	A1Z6H0
CG17337	Q8MT58
vlc	A1Z6H4
ap	P29673
l(2)09851	Q8SYL1
CG34200	Q6IGW6
CG7791	Q8T8Q1
CG11163	Q8T0G1
mle	P24785
Src42A	Q9V9J3
PNGase	Q7KRR5
Act42A	P02572
SCAP	Q9VUH7
CG7861	A1Z6J5
CG7849	Q29QN4
CG7843	Q9V9K7
CG30431	Q4V6Y7
l(2)k14710	Q7KN74
bin3	Q7K480
Pld	Q7KML4
Vha16	P23380
Trap1	A1Z6L9
Bap170	A1Z6M0
debcl	Q9V9C8
Opbp	Q4V6Y6
geminin	Q7JX41
Dpit47	A1Z6M6
Adf1	P05552
CG15908	Q4QPU3
CG9410	Q8MLL3
CG3194	C3KGM6
CG3271	Q7K0P4
Mob4	Q7K0E3
Rab2	O18333
CG3409	Q8T043
phtf	Q9V9A8
CG3267	Q9V9A7
Eb1	Q9XZ57
CG3420	Q8SYQ8
CG9436	Q7JVH6
Epac	Q7K3Z6
SdhB	P21914
CG15237	Q4V665
ubl	Q9V998
CG3287	A1Z6Q0
coro	Q7JVY0
Spn4	Q8MPN8
CG9455	A1Z6R4
CG3358	Q7JUN9
CG33558	A0A0B4KEE8
Cyp6u1	Q9V979
vimar	A1Z6S7
CG17002	Q7JQT8
CG30159	Q7K332
Tsp42Ed	Q7JWV7
Tsp42Ee	Q7KJ73
Tsp42Ef	Q7K010
pgant3	Q9Y117
CG1845	Q7JVP4
Dscam	Q0E9H9
CG11107	Q7K3M5
CG1707	A1Z6X6
CG11166	Q7JRJ1
CG11123	Q7JX95
sPLA2	Q6XPX3
kappaB-Ras	Q9V4L4
Inos	O97477
CG11141	Q6NLL1
CG11127	Q7JRM5
p47	Q7K3Z3
Aldh-III	A0A0C4FEI5
CG1621	Q7JUZ9
CG1620	A1Z6Z7
didum	O97417
CG12736	Q7K3V6
CG2144	A1Z705
CG1600	G3LFG9
Cyt-b5	Q9V4N3
CG1598	Q7JWD3
CG30499	Q95RV5
boca	Q8T9B6
CG2093	A1Z713
blow	A1Z714
CG30492	A0A0B4KGY1
CG17985	Q7K4J7
Rpt1	Q7KMQ0
CG30491	Q7JUS1
CG2064	A1Z729
CG12042	Q7K130
mRpL52	Q7JWG9
CG12107	Q7JXE4
CG1399	Q8IGL5
CG30493	Q8MKN0
CG30496	Q7JRC9
CG18812	Q7JUR6
CG30497	A1Z745
CanB2	Q24214
Gapdh1	P07486
CG1553	Q0E9G3
sax	Q95U21
CG1550	Q7JVG6
CG1882	Q5U191
cathD	Q7K485
CG12822	Q8MR50
CG12159	Q8MSH0
lin19	Q24311
rnh1	Q7JY33
CG8728	Q7K3W2
CG14764	Q7K0S1
CG2915	Q0E9F9
nito	Q7KMJ6
CG8726	A1Z782
CSN4	Q9V345
CG11198	Q7JV23
Nup44A	Q7K2X8
lig	Q86S05
Vps28	Q9V359
slv	Q7JVE7
sut1	Q7KK97
CG11210	Q6NP91
cul-4	Q5BI50
CG30372	A1Z7A6
CG2158	Q7K0D8
Socs44A	Q7JVF1
Pbp49	Q7JUY8
Pabp2	Q7KNF2
Obp44a	Q7K084
CG8709	I0E2I4
kermit	Q7JX82
CG8707	Q7K519
CG30373	A1Z7B8
Rs1	Q7JQN4
CG33087	A0A0B4KFD1
pnut	P40797
CSN7	Q9V4S8
Cyp4e2	Q27606
CG30359	Q5U124
CG8735	Q7K2N0
Cirl	A1Z7G7
Vps25	Q7JXV9
CG14749	Q9V4W1
CG8635	Q7JWR9
l(2)44DEa	Q8T3L1
CG14767	Q7KGU6
gcl	Q01820
stmA	Q8IGJ0
CG8272	Q7K0V7
Dmn	Q7K2D2
sec31	A0A0B4LEZ1
CG13751	Q7K078
MrgBP	Q7K003
Ggamma1	P38040
CG8258	Q7K3J0
CG30349	A1Z7K2
Pgi	P52029
lin	Q9V4Z9
CG8243	A1Z7K6
CG8237	Q7JXC6
CG8235	A1Z7K8
CG8232	A1Z7K9
CG8230	Q7KNA0
CG8229	A1Z7L5
CG33199	A1Z7L4
Tom7	Q7K036
babo	Q7YU60
Dbp45A	Q07886
CG8080	Q7JW73
CG8078	Q7JWW5
Pmm45A	Q95X10
tsu	Q9V535
Mys45A	Q7KKH3
Phax	Q6NL95
Su(var)2-10	Q8IGK3
CG11784	Q7JVI6
CG18659	C8VV76
CG8058	A1Z7Q7
alc	Q95SG9
CG8788	Q7JY89
shrb	Q8T0Q4
CG30342	Q7JVL3
CG30344	Q961H2
Rme-8	A1Z7S0
ltd	A1Z7S1
CG8026	Q95T49
CG8029	Q7JR49
Pkn	A1Z7T0
CG2063	Q7K0K1
CG1968	Q9V564
TXBP181-like	Q7KND8
Myd88	Q7K105
CG8801	Q9V411
CG33774	A1Z7U3
wun	Q9V576
prel	Q9V579
Pdk	P91622
ced-6	Q7JUY7
CG1888	Q7JWH6
Not1	Q9VVR1
CG1814	A1Z7V9
Updo	Q9V595
CG12929	A1Z7W3
RpL31	Q9V597
CG1902	Q7K1M4
CG30000	Q7K0B6
CG30005	Q4V5M6
CG12926	A1Z7X8
Mmp2	Q8MPP3
Uba1	Q8T0L3
CG1648	Q7K2P3
CG1599	Q7JYX5
Prosalpha7	Q9V5C6
CG1516	Q7KN97
cbx	Q7K4V4
CG1675	Q6NN40
sec24	A1Z813
CG1513	A1Z814
CG12140	Q7JWF1
