SMARCA5	O60264
HNRNPU	Q00839
RANBP2	P49792
ATG3	Q9NT62
TMEM251	Q8N6I4
RMND5A	Q9H871
RPIA	P49247
CFDP1	Q9UEE9
TRIP12	Q14669
MAX	P61244
TOMM70	O94826
ATP5PF	P18859
XPC	Q01831
FLCN	Q8NFG4
ANKRD40	Q6AI12
MRPS17	Q9Y2R5
LONP2	Q86WA8
NIFK	Q9BYG3
VBP1	P61758
WHAMM	Q8TF30
ATP5MPL	P56378
UQCRB	P14927
RPL30	P62888
ZFAND3	Q9H8U3
FBRS	Q9HAH7
PDE6D	O43924
NOMO1	Q15155
ABCF2	Q9UG63
ODR4	Q5SWX8
GATAD1	Q8WUU5
APPL1	Q9UKG1
COQ5	Q5HYK3
PSMG3	Q9BT73
WIPI2	Q9Y4P8
MRPL17	Q9NRX2
ACTR1B	P42025
EIF5B	O60841
CNOT11	Q9UKZ1
ZNF276	Q8N554
KPNB1	Q14974
NCOA5	Q9HCD5
OGFR	Q9NZT2
ATP5PO	P48047
SNF8	Q96H20
PSMB4	P28070
AMFR	Q9UKV5
ATP6V0D1	P61421
CALM3	P0DP25
SSU72	Q9NP77
NR2F6	P10588
U2AF1	Q01081
AGPAT3	Q9NRZ7
PWP2	Q15269
GATD3A	P0DPI2
ZER1	Q7Z7L7
SAFB	Q15424
UBE2Q1	Q7Z7E8
CCDC12	Q8WUD4
RNF126	Q9BV68
NACC1	Q96RE7
ATP5MF	P56134
LY6E	Q16553
LRRC14	Q15048
ZNF251	Q9BRH9
ABHD17A	Q96GS6
MAML1	Q92585
POLR2J	P52435
AP2M1	Q96CW1
PCYT1A	P49585
ACOX1	Q15067
STAT5B	P51692
PSME3	P61289
LSM12	Q3MHD2
LEMD2	Q8NC56
MED11	Q9P086
RPL26	P61254
NXF1	Q9UBU9
STX5	Q13190
RPL29	P47914
ZFPL1	O95159
ZYG11B	Q9C0D3
C1orf123	Q9NWV4
ARL5A	Q9Y689
RNF149	Q8NC42
IWS1	Q96ST2
HNRNPDL	O14979
MRPS18C	Q9Y3D5
KRTCAP2	Q8N6L1
SSR2	P43308
STT3B	Q8TCJ2
THOC7	Q6I9Y2
PSMD6	Q15008
RPL9	P32969
MRPL33	O75394
RPN1	P04843
SENP2	Q9HC62
BAP1	Q92560
ADH5	P11766
BDH2	Q9BUT1
PGRMC2	O15173
SHISA5	Q8N114
APEH	P13798
WDR82	Q6UXN9
ABCE1	P61221
TMEM184C	Q9NVA4
NDUFAF2	Q8N183
RPS23	P62266
NSA2	O95478
TRA2A	Q13595
SLU7	O95391
CAMLG	P49069
RP9	Q8TA86
HSPA9	P38646
BRI3	O95415
RAD21	O60216
SPTSSA	Q969W0
RPL36AL	Q969Q0
ZNF22	P17026
ZMYND19	Q96E35
ISCA2	Q86U28
PSMC3	P17980
MOAP1	Q96BY2
BCCIP	Q9P287
NDUFB8	O95169
COPS2	P61201
PCBD1	P61457
CCT2	P78371
TAF10	Q12962
TPP1	Q96AP0
TMX3	Q96JJ7
HSP90B1	P14625
AP1G1	O43747
PPIB	P23284
CIAO2A	Q9H5X1
TERF2IP	Q9NYB0
CLPX	O76031
PATL1	Q86TB9
MRPL16	Q9NX20
TSC22D4	Q9Y3Q8
SON	P18583
PDIA3	P30101
NUDT21	O43809
PHB	P35232
COQ4	Q9Y3A0
CRK	P46108
GCN1	Q92616
ATP5MG	O75964
STIM1	Q13586
TPM4	P67936
ZC3H18	Q86VM9
DAPK3	O43293
UBXN6	Q9BZV1
TSR1	Q2NL82
CD320	Q9NPF0
SPRYD3	Q8NCJ5
CDK2AP2	O75956
PRDX2	P32119
MRPL58	Q14197
ATP5PD	O75947
FAM234A	Q9H0X4
METTL26	Q96S19
E4F1	Q66K89
KCTD5	Q9NXV2
SRRM2	Q9UQ35
DDB1	Q16531
VPS37C	A5D8V6
HNRNPUL2	Q1KMD3
RPSA	A0A8I5KQE6
UBXN1	Q04323
TADA3	O75528
IRF2BP1	Q8IU81
NUDT9	Q9BW91
UBB	P0CG47
DDX19A	Q9NUU7
COPRS	Q9NQ92
GABARAP	O95166
TMEM42	Q69YG0
KIF5B	P33176
TMEM256	Q8N2U0
TRIM8	Q9BZR9
KARS	Q15046
